Tarih,Deger
1990-01-01,
1990-01-02,0.00231137
1990-01-03,0.00231237
1990-01-04,0.00232235
1990-01-05,0.00232035
1990-01-08,0.00231237
1990-01-09,0.00230538
1990-01-10,0.00231336
1990-01-11,0.00231037
1990-01-12,0.00231935
1990-01-15,0.00231636
1990-01-16,0.00232334
1990-01-17,0.00233233
1990-01-18,0.00232734
1990-01-19,0.00233532
1990-01-22,0.0023433
1990-01-23,0.00235129
1990-01-24,0.0023473
1990-01-25,0.00233831
1990-01-26,0.0023443
1990-01-29,0.00235029
1990-01-30,0.0023443
1990-01-31,0.0023473
1990-02-01,0.00235428
1990-02-02,0.00235528
1990-02-05,0.00236027
1990-02-06,0.00235827
1990-02-07,0.00235229
1990-02-08,0.00235328
1990-02-09,0.00236426
1990-02-12,0.00236925
1990-02-13,0.00237125
1990-02-14,0.00237923
1990-02-15,0.00237524
1990-02-16,0.00238322
1990-02-19,0.00239121
1990-02-20,0.00238622
1990-02-21,0.00238722
1990-02-22,0.00238722
1990-02-23,0.0023942
1990-02-26,0.00239819
1990-02-27,0.00240618
1990-02-28,0.00240817
1990-03-01,0.00241516
1990-03-02,0.00242714
1990-03-05,0.00243213
1990-03-06,0.00243013
1990-03-07,0.00243113
1990-03-08,0.00243612
1990-03-09,0.00243811
1990-03-12,0.00244111
1990-03-13,0.0024461
1990-03-14,0.00245408
1990-03-15,0.00245608
1990-03-16,0.00245708
1990-03-19,0.00245209
1990-03-20,0.00244909
1990-03-21,0.00245508
1990-03-22,0.00246805
1990-03-23,0.00247005
1990-03-26,0.00247205
1990-03-27,0.00247803
1990-03-28,0.00248302
1990-03-29,0.00248402
1990-03-30,0.00248003
1990-04-02,0.00248402
1990-04-03,0.00248702
1990-04-04,0.00249001
1990-04-05,0.00249001
1990-04-06,0.002493
1990-04-09,0.002493
1990-04-10,0.00249201
1990-04-11,0.002494
1990-04-12,0.00249101
1990-04-13,0.002494
1990-04-16,0.00249799
1990-04-17,0.00250199
1990-04-18,0.00250598
1990-04-19,0.00250698
1990-04-20,0.00250997
1990-04-23,
1990-04-24,0.00251296
1990-04-25,0.00252195
1990-04-26,
1990-04-27,
1990-04-30,0.00252195
1990-05-01,0.00252095
1990-05-02,0.00252694
1990-05-03,0.00252893
1990-05-04,0.00252993
1990-05-07,0.00252893
1990-05-08,0.00252694
1990-05-09,0.00252893
1990-05-10,0.00252694
1990-05-11,0.00252893
1990-05-14,0.00252893
1990-05-15,0.00253492
1990-05-16,0.00253791
1990-05-17,0.00254191
1990-05-18,0.0025449
